Date_time,VIX,SP500,US Treasury securities
2018-09-11,13.49,2871.57,2.02
2018-09-12,11.05,2888.29,2.01
2018-09-13,10.53,2896.85,2.01
2018-09-14,10.21,2906.38,2.02
2018-09-17,11.26,2903.83,2.02
2018-09-18,12.38,2890.74,2.05
2018-09-19,11.44,2906.6,2.03
2018-09-20,10.78,2919.73,2.03
2018-09-21,11.27,2936.76,2.05
2018-09-24,11.99,2921.83,2.07
2018-09-25,11.46,2921.75,2.12
2018-09-26,11.56,2916.98,2.11
2018-09-27,11.83,2911.65,2.1
2018-09-28,12.73,2910.03,2.12
2018-10-01,11.38,2926.29,2.13
2018-10-02,11.49,2923.8,2.14
2018-10-03,10.6,2931.69,2.15
2018-10-04,11.85,2919.35,2.16
2018-10-05,14.43,2902.54,2.15
2018-10-08,17.17,2877.53,2.15
2018-10-09,15.97,2882.51,2.17
2018-10-10,15.64,2873.9,2.18
2018-10-11,23.85,2776.87,2.14
2018-10-12,25.02,2770.54,2.14
2018-10-15,24.76,2763.83,2.17
2018-10-16,20.72,2767.05,2.19
2018-10-17,17.95,2811.67,2.2
2018-10-18,19.4,2802.0,2.19
2018-10-19,21.24,2775.66,2.19
2018-10-22,20.72,2773.94,2.18
2018-10-23,29.71,2721.03,2.21
2018-10-24,23.97,2737.87,2.2
2018-10-25,29.8,2674.88,2.19
2018-10-26,32.21,2667.86,2.16
2018-10-29,29.04,2682.65,2.17
2018-10-30,32.42,2640.68,2.21
2018-10-31,26.96,2705.6,2.2
2018-11-01,23.68,2717.58,2.21
2018-11-02,20.97,2745.45,2.19
2018-11-05,22.32,2726.37,2.2
2018-11-06,22.06,2738.4,2.23
2018-11-07,17.39,2774.13,2.23
2018-11-08,15.53,2806.38,2.21
2018-11-09,16.28,2794.1,2.21
2018-11-12,16.94,2773.93,2.21
2018-11-13,20.19,2730.05,2.24
2018-11-14,18.63,2737.9,2.24
2018-11-15,22.32,2693.52,2.2
2018-11-16,20.93,2718.54,2.21
2018-11-19,19.17,2730.74,2.23
2018-11-20,24.77,2654.6,2.23
2018-11-21,22.53,2657.74,2.25
2018-11-23,22.96,2633.36,2.25
2018-11-26,21.69,2649.97,2.24
2018-11-27,21.49,2663.75,2.31
2018-11-28,21.27,2691.45,2.31
2018-11-29,22.59,2736.97,2.31
2018-11-30,23.15,2737.76,2.31
2018-12-03,18.09,2790.5,2.3
2018-12-04,17.74,2782.43,2.37
2018-12-06,31.36,2663.51,2.36
2018-12-07,24.77,2691.26,2.32
2018-12-10,28.13,2630.86,2.32
2018-12-11,23.95,2664.44,2.28
2018-12-12,22.07,2658.23,2.3
2018-12-13,21.53,2658.7,2.36
2018-12-14,21.38,2629.68,2.36
2018-12-17,23.85,2590.75,2.36
2018-12-18,26.45,2559.9,2.35
2018-12-19,28.79,2547.05,2.35
2018-12-20,26.96,2496.77,2.42
2018-12-21,30.64,2465.38,2.41
